2574729548,inf,28503.038896,2574732815,2574729548,1041
3789601293,inf,32310.393818,3790895021,3789637258,31331
1621801303,inf,31310.393818,1621837176,1621873113,42572
1621909118,inf,30310.393818,1621944991,1621909187,42575
1623023165,inf,30310.393818,1623059038,1623095041,42584
455924290,32310.393818,inf,457074243,3267612755,14382
2930327636,35010.833536,35010.833536,2931621437,2930471413,64334
3586163576,inf,32840.908535,3588391608,3587421309,59338
2574699056,29310.393818,29310.393818,2574725192,2574699056,1033
3397035056,30310.393818,inf,3397178873,3397070994,12210
2159633755,31310.393818,inf,2160783736,1627285678,60734
2727913098,inf,31310.393818,2727948899,2727948963,63039
1792096890,30725.431317,inf,1792101246,1792097979,47658
3893960600,30310.393818,inf,3894068411,3893996537,25475
945693128,29503.038896,30503.038896,946843052,945872715,18707
2248543718,inf,30725.431317,328471409,2248579684,53806
2939878716,31310.393818,32310.393818,2940813078,2940741236,67963
3483517654,inf,29310.393818,2708599944,3483553595,63469
3482044373,30310.393818,inf,3482223957,3482116117,63460
2483289337,30310.393818,inf,2483576871,595855473,15565
1173432439,33222.563645,inf,1201894446,1173468346,3434
1169766768,33222.563645,inf,1169874609,1169802735,3414
1764609545,inf,33307.274476,1764645481,1764789230,2707
1729139822,36354.787937,inf,1758931498,1729175764,2681
1802702767,36354.787937,inf,1804930924,1802738768,2750
2659201090,35354.787937,inf,1525568796,2659272937,3804
3162584153,27403.503222,27403.503222,3162728005,3162691964,45496
3926921577,30081.575127,inf,3928287053,3242648320,20385
1850876955,31310.393818,inf,2268649360,2268647186,29754
3957858517,inf,28725.431317,3958756942,3958720971,47242
3929252728,29503.038896,inf,3957606924,1290427341,47235
1850150114,28988.465723,28988.465723,1850365730,1850293888,10859
2731064595,29725.431317,inf,2732358226,2731100430,26904
2538991382,inf,29988.465723,2182588325,2182372712,37690
799072872,29725.431317,inf,2236802644,2236801559,29321
1213563746,32638.010307,33638.010307,1728733653,1213563784,58376
1213563784,32638.010307,inf,1728733653,1213599683,58377
2538776441,32638.010307,inf,2538884252,2549794761,52347
2075319946,30310.393818,31310.393818,2075427757,2075355883,64032
2075463633,30310.393818,30310.393818,2075499596,2075535601,64036
2075535601,inf,29310.393818,2076397991,2535782201,64038
276678129,31310.393818,30310.393818,276714036,218779185,24090
276714036,30310.393818,inf,218779185,276749967,24091
3364294148,30310.393818,inf,3365228480,3364330055,1280
861501693,36207.333153,inf,862687614,862364209,18645
2583319348,35041.182752,inf,2586589581,2585655249,21107
3792575100,36055.439674,inf,3792611037,1676764395,39774
3594368935,inf,34055.439674,2062031913,3622723230,18303
3623945086,32055.439674,inf,3625023225,3624016893,18311
3659980334,inf,35055.439674,3885274789,3660986569,67890
3362589652,29725.431317,29310.393818,3362589689,3363452144,63514
2555728225,34055.439674,inf,2556770401,1899579788,17570
