2574729548,inf,5192.645078,2574732815,2574729548,1041
1621801303,inf,8000.000000,1621837176,1621873113,42572
1621909118,inf,7000.000000,1621944991,1621909187,42575
1623023165,inf,7000.000000,1623059038,1623095041,42584
455924290,9000.000000,inf,457074243,3267612755,14382
2930327636,7000.000000,7000.000000,2931621437,2930471413,64334
3586163576,inf,9584.962501,3588391608,3587421309,59338
1003506202,11700.439718,9584.962501,1003793629,1003721755,47365
2574699056,6000.000000,6000.000000,2574725192,2574699056,1033
3397035056,7000.000000,inf,3397178873,3397070994,12210
2159633755,8000.000000,inf,2160783736,1627285678,60734
2727913098,inf,8000.000000,2727948899,2727948963,63039
1792096890,7415.037499,inf,1792101246,1792097979,47658
3893960600,7000.000000,inf,3894068411,3893996537,25475
945693128,6192.645078,7192.645078,946843052,945872715,18707
2248543718,inf,7415.037499,328471409,2248579684,53806
2939878716,8000.000000,9000.000000,2940813078,2940741236,67963
3111213337,7415.037499,inf,3111213376,3111249274,10399
2483289337,7000.000000,inf,2483576871,595855473,15565
3362589652,7000.000000,6000.000000,3362589689,3363452144,63514
3362589689,inf,6000.000000,2704975748,3363452144,63515
2755026701,13044.394119,inf,2756212525,2755062608,4016
1173432439,12044.394119,inf,1201894446,1173468346,3434
1169766768,12044.394119,inf,1169874609,1169802735,3414
1764609545,inf,12459.431619,1764645481,1764789230,2707
1729139822,13044.394119,inf,1758931498,1729175764,2681
1802702767,13044.394119,inf,1804930924,1802738768,2750
2659201090,12044.394119,inf,1525568796,2659272937,3804
3926921577,6771.181310,inf,3928287053,3242648320,20385
1850876955,8000.000000,inf,2268649360,2268647186,29754
3838134112,7415.037499,inf,2104445844,3838135201,11035
3957858517,inf,5415.037499,3958756942,3958720971,47242
3929252728,6192.645078,inf,3957606924,1290427341,47235
1850150114,6415.037499,6415.037499,1850365730,1850293888,10859
2731064595,6415.037499,inf,2732358226,2731100430,26904
4062908637,7000.000000,inf,4063052392,4063016385,42676
68730215,7000.000000,inf,69017718,68909837,2197
2538991382,inf,7415.037499,2182588325,2182372712,37690
685260361,6415.037499,6415.037499,686194786,686194760,29404
799072872,6415.037499,inf,2236802644,2236801559,29321
1976529948,10875.181736,inf,1976530021,2793056948,45189
2586697360,12267.599349,inf,2586841078,2586733298,21112
2428952797,inf,7459.439968,2431144825,2431108915,16196
2254304427,10875.181736,11290.219235,2411024961,2254304526,18057
2254304526,10875.181736,11875.181736,2411024961,2254340364,18058
2254340364,10875.181736,inf,2411024961,2411023872,18059
1413151262,inf,9875.181736,1413187198,1413330946,20837
3792646974,11875.181736,inf,3792682911,1676764395,39776
2062068939,9875.181736,inf,3626101336,3623801309,18307
1148376301,9875.181736,9875.181736,1152041774,1151969900,16599
3488724560,6912.537159,inf,3492030725,3492066664,17037
