3759659734,45252.770166,45345.879570
3759659734,45252.770166,45445.415244
3759659734,45252.770166,46252.770166
3759659734,45252.770166,inf
3295325082,46958.911026,inf
3169708814,51448.085870,inf
3293335169,50272.155747,inf
1310549807,inf,49272.155747
1312777903,49610.133548,49610.133548
2641150205,inf,48842.910710
2640245250,inf,48842.910710
2637786057,47842.910710,48316.070117
1182532299,inf,48842.910710
4245279375,inf,47842.910710
2640212580,inf,48842.910710
1108861414,inf,48842.910710
2685047787,inf,50608.511437
1639423459,inf,49381.999153
959799900,50980.070464,51381.999153
1644023392,49381.999153,inf
2417139407,48824.161485,48928.438912
4107946661,48409.123986,48747.716853
2418289427,48409.123986,48747.716853
961950673,50517.051887,50980.070464
1679601055,50517.051887,50980.070464
1680966659,50381.999153,51020.127084
890022421,48885.187554,53983.534759
957322425,49941.087330,inf
3500830918,49250.026539,49066.249951
3502196526,49066.249951,49460.678478
3504640344,49066.249951,inf
2953449447,47825.036119,48414.148135
2953449447,47825.036119,48636.540557
2953449447,47825.036119,49221.503057
2953449447,47825.036119,inf
2953584476,48517.051887,48104.260395
2953584476,48104.260395,49517.051887
2953584476,48104.260395,48517.051887
2953584476,48104.260395,48104.260395
649959325,49381.999153,49381.999153
651181213,inf,48381.999153
2604801739,50261.258019,inf
2082251647,inf,47219.993119
1386474673,50261.258019,50442.688648
1935860538,inf,49128.279344
4163839796,inf,inf
1881978228,inf,48965.748851
1920826125,inf,48965.748851
2414896330,40385.248779,inf
2410044839,40385.248779,inf
3010759527,51355.566530,inf
3628708556,51386.953002,49193.712785
3628708556,inf,49193.712785
3314131350,43573.484279,43681.200875
1545488065,40385.248779,inf
1507574534,40385.248779,inf
2496377531,46811.103951,48254.955133
141321633,inf,inf
1513324450,40385.248779,inf
562891223,inf,40076.969505
1245254757,inf,inf
1202741286,inf,inf
2855053331,46073.205099,46386.121480
3882719792,52272.155747,inf
2036957429,inf,55699.667053
4226539494,56699.667053,55699.667053
169117176,56952.271701,inf
740774171,58287.980763,58287.980763
2778970642,inf,54405.584087
2810990509,53405.584087,inf
