3789601293,inf,22807.354922,3790895021,3789637258,31331
1621801303,inf,21807.354922,1621837176,1621873113,42572
1621909118,inf,20807.354922,1621944991,1621909187,42575
1623023165,inf,20807.354922,1623059038,1623095041,42584
455924290,22807.354922,inf,457074243,3267612755,14382
2930327636,20807.354922,20807.354922,2931621437,2930471413,64334
2574699056,19807.354922,19807.354922,2574725192,2574699056,1033
3397035056,20807.354922,inf,3397178873,3397070994,12210
2727913098,inf,21807.354922,2727948899,2727948963,63039
1792096890,21222.392421,inf,1792101246,1792097979,47658
2022559294,22777.607579,inf,2023601433,2022595225,46622
1857680298,22384.589308,inf,1857716235,1858686538,46477
1231421451,23777.607579,inf,1231451943,1982238014,46589
1899223470,21944.201117,inf,1899259408,1900193773,46531
1233760623,22777.607579,inf,2059394713,2059430623,46655
2094720787,23777.607579,inf,2094900439,2094756728,46689
3248474231,inf,20415.037499,3248510104,2701451274,20275
3243614263,23000.000000,inf,3960270989,3960091371,20405
2572007402,21000.000000,inf,2572223020,2572151146,26838
2275685328,inf,19415.037499,1370495897,2275721262,11162
3966179246,22000.000000,inf,3966358894,1942295682,27894
2040223790,21000.000000,inf,2040367511,2040259697,65415
1329900746,17000.000000,17000.000000,1329972620,1329936683,27472
889125289,18000.000000,18000.000000,890490736,890382928,49888
891461032,18000.000000,19000.000000,4191835101,891532937,49893
891532937,inf,18000.000000,891568873,4191835101,49894
298873703,inf,18000.000000,3002636447,298945541,68686
1935711295,19000.000000,19117.356951,2922144784,1935711386,19414
1864628736,inf,19000.000000,1868186494,1864664671,51104
793063297,19415.037499,18415.037499,2757220452,2757220452,10638
3184596792,20000.000000,18415.037499,3870870310,3870870310,10384
4229222472,23700.439718,inf,4229330257,4162825598,19042
4257588268,21717.314577,inf,4257660173,389319969,28101
4146172068,20000.000000,inf,4160312182,4146207938,18948
3744301637,21000.000000,inf,3745415657,3887860471,60866
3746565670,inf,20000.000000,3746601541,3887899671,60871
1003506202,22717.314577,23392.317423,1003793629,1003721755,47365
3838660883,inf,19000.000000,3838696719,2849513466,43151
2154703270,inf,20000.000000,2157003176,2154739208,23974
1755685933,18000.000000,inf,1745868897,1778990861,51046
2241101490,20000.000000,inf,2270821226,3452723131,10917
3559721852,20382.428549,20382.428549,3559757792,3560656217,12339
3271617013,inf,24722.466024,3483058984,3271653114,45612
541625974,20000.000000,19415.037499,541769727,541661920,52903
3276360798,inf,20000.000000,3483311632,3276576418,45666
749004432,18678.071905,inf,749004470,749040369,10653
98243782,inf,20000.000000,98279728,98387530,31862
3752502319,inf,17790.546634,3755053841,3752538254,51760
1927593248,21000.000000,inf,1955803723,3312176113,62786
167494357,18000.000000,18000.000000,168608470,168536558,49267
2698013122,inf,21000.000000,1513448589,2699199008,16448
1460399592,19000.000000,inf,2777526622,2777525533,21995
1465358829,18000.000000,inf,2777568000,1465394766,22008
1749648684,18000.000000,18000.000000,1750762633,1750690760,51086
156738984,20000.000000,inf,157888962,156918564,15693
4187679234,21000.000000,inf,4187858922,4161567803,18995
2170057438,18000.000000,18000.000000,2170272928,2170165218,53677
2172572997,18000.000000,17830.074999,326171445,2172644802,53687
2172644802,17678.071905,18000.000000,2172680742,2173579163,53688
3742994405,19000.000000,18000.000000,3743102224,3743030346,58707
3743102224,18000.000000,inf,3744108458,3743964707,58709
1618234573,inf,21000.000000,1608492610,1540540557,66946
1902358661,21762.960803,inf,578286359,578282003,25407
1249116942,inf,19000.000000,2120265864,1239475175,13171
